sourceName,double,speed,length
Healthy,0.283,2.281675018,23.62204724
Healthy,0.281,3.265926986,29.92125984
Healthy,0.275,3.221188261,29.13385827
Healthy,0.275,3.243557623,29.52755906
Healthy,0.265,3.377773801,30.31496063
Healthy,0.27,3.400143164,30.70866142
Healthy,0.264,3.646206156,32.28346457
Healthy,0.316,3.534359341,31.49606299
Healthy,0.303,3.690944882,32.28346457
Healthy,0.299,2.460629921,23.22834646
Healthy,0.297,2.617215462,23.22834646
Healthy,0.269,2.68432355,24.01574803
Healthy,0.301,2.639584825,24.40944882
Healthy,0.273,3.489620616,30.70866142
Healthy,0.299,2.818539728,25.19685039
Healthy,0.258,3.44488189,30.31496063
Healthy,0.267,2.572476736,24.80314961
Healthy,0.264,3.690944882,31.1023622
Healthy,0.286,3.534359341,30.31496063
Healthy,0.272,3.467251253,29.52755906
Healthy,0.277,3.06460272,27.95275591
Healthy,0.274,3.377773801,30.31496063
Healthy,0.291,3.243557623,29.92125984
Healthy,0.274,3.198818898,27.55905512
Healthy,0.275,2.840909091,27.55905512
Healthy,0.311,3.355404438,30.31496063
Healthy,0.31,3.400143164,31.49606299
Healthy,0.302,2.393521832,24.80314961
Healthy,0.257,2.14745884,21.65354331
Healthy,0.311,2.594846099,25.59055118
Healthy,0.298,3.758052971,31.88976378
Healthy,0.28,2.415891195,24.80314961
Healthy,0.293,2.661954188,24.40944882
Healthy,0.327,3.042233357,27.16535433
Healthy,0.286,2.818539728,26.77165354
Healthy,0.308,2.236936292,21.25984252
Healthy,0.343,3.086972083,29.13385827
Healthy,0.289,2.729062276,28.74015748
Healthy,0.294,2.125089477,24.80314961
Healthy,0.31,2.997494631,29.52755906
Healthy,0.28,2.975125268,29.13385827
Healthy,0.267,2.192197566,23.22834646
Healthy,0.274,3.176449535,29.92125984
Healthy,0.273,3.511989979,31.88976378
Healthy,0.286,3.44488189,31.49606299
Healthy,0.26,3.400143164,31.1023622
Healthy,0.313,3.176449535,28.74015748
Healthy,0.309,3.690944882,32.28346457
Healthy,0.32,2.729062276,26.77165354
Healthy,0.312,2.52773801,25.98425197
Healthy,0.286,2.37115247,25.19685039
Healthy,0.315,2.550107373,25.98425197
Healthy,0.303,3.019863994,29.13385827
Healthy,0.288,2.550107373,24.01574803
Healthy,0.276,2.438260558,22.83464567
Healthy,0.295,3.109341446,29.13385827
Healthy,0.274,3.355404438,31.1023622
Healthy,0.263,2.840909091,27.55905512
Healthy,0.267,3.825161059,34.64566929
Healthy,0.265,3.646206156,32.28346457
Healthy,0.258,3.646206156,32.28346457
Healthy,0.306,3.690944882,32.67716535
Healthy,0.287,3.802791696,33.07086614
Healthy,0.259,2.572476736,26.77165354
Healthy,0.217,3.019863994,29.13385827
Healthy,0.266,3.847530422,33.46456693
Healthy,0.272,4.317287044,36.22047244
Healthy,0.3,3.511989979,31.1023622
Healthy,0.269,3.511989979,31.49606299
Healthy,0.303,2.885647817,27.55905512
Healthy,0.316,3.422512527,30.70866142
Healthy,0.26,2.438260558,25.98425197
Healthy,0.25,2.37115247,25.98425197
Healthy,0.261,3.623836793,31.88976378
Healthy,0.259,3.892269148,33.46456693
Healthy,0.284,3.713314245,33.07086614
Healthy,0.278,3.713314245,32.67716535
Healthy,0.323,2.975125268,30.31496063
Healthy,0.278,3.422512527,30.70866142
Healthy,0.302,2.125089477,26.37795276
Healthy,0.307,3.333035075,30.70866142
Healthy,0.272,2.617215462,24.01574803
Healthy,0.33,2.594846099,23.62204724
Healthy,0.28,2.482999284,24.01574803
Healthy,0.274,3.511989979,26.37795276
Healthy,0.308,2.617215462,30.70866142
Healthy,0.334,2.304044381,31.49606299
Healthy,0.287,3.221188261,24.80314961
Healthy,0.3,3.489620616,20.47244094
Healthy,0.306,2.505368647,28.74015748
Healthy,0.268,2.013242663,25.98425197
Healthy,0.269,3.109341446,25.59055118
Healthy,0.271,2.751431639,31.88976378
Healthy,0.296,2.68432355,31.49606299
Healthy,0.268,3.489620616,30.70866142
Healthy,0.265,3.422512527,27.55905512
Healthy,0.26,3.355404438,30.70866142
Healthy,0.253,2.773801002,31.88976378
Healthy,0.25,3.422512527,30.70866142
Healthy,0.254,3.534359341,33.46456693
Healthy,0.254,3.467251253,33.85826772
Healthy,0.263,3.869899785,33.85826772
Healthy,0.307,3.959377237,33.85826772
Healthy,0.297,3.914638511,31.88976378
Healthy,0.296,3.892269148,24.01574803
Healthy,0.291,3.668575519,24.40944882
Healthy,0.289,2.281675018,25.98425197
Healthy,0.307,2.460629921,29.13385827
Healthy,0.305,2.863278454,29.52755906
Healthy,0.309,3.019863994,25.59055118
Healthy,0.278,3.042233357,26.77165354
Healthy,0.237,2.729062276,24.01574803
Healthy,0.315,2.68432355,29.13385827
Healthy,0.281,2.594846099,34.2519685
Healthy,0.273,3.288296349,22.83464567
Healthy,0.318,4.183070866,29.52755906
Healthy,0.273,2.393521832,29.13385827
Healthy,0.279,3.243557623,22.83464567
Healthy,0.287,3.310665712,30.31496063
Healthy,0.27,2.035612026,27.55905512
Healthy,0.27,3.400143164,26.37795276
Healthy,0.248,3.131710809,31.49606299
